direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Sep 23, 2022",1663891200,2022-09-23T00:00:00Z,"111,716","114,070","114,070","110,732",13.54M,13542330,-2.06,111716.00000000000000,114070.47656250000000,114070.47656250000000,110731.89843750000000,-2.064054287710428
greenFont,"Sep 22, 2022",1663804800,2022-09-22T00:00:00Z,"114,070","111,942","114,392","111,819",15.68M,15684391,1.91,114070.47656250000000,111941.65625000000000,114392.42187500000000,111818.53125000000000,1.907000311981122
redFont,"Sep 21, 2022",1663718400,2022-09-21T00:00:00Z,"111,936","112,517","113,294","111,380",14.73M,14726788,-0.52,111935.85937500000000,112516.90625000000000,113294.36718750000000,111380.13281250000000,-0.5164085063883456
greenFont,"Sep 20, 2022",1663632000,2022-09-20T00:00:00Z,"112,517","111,824","112,544","111,393",12.57M,12570346,0.62,112516.90625000000000,111823.60156250000000,112543.88281250000000,111393.15625000000000,0.6197384307831133
greenFont,"Sep 19, 2022",1663545600,2022-09-19T00:00:00Z,"111,824","109,283","111,976","108,508",12.59M,12594815,2.33,111823.89062500000000,109282.60156250000000,111975.93750000000000,108507.75781250000000,2.3275209472309863
redFont,"Sep 16, 2022",1663286400,2022-09-16T00:00:00Z,"109,280","109,951","109,952","108,489",18.84M,18843288,-0.61,109280.36718750000000,109950.92187500000000,109952.49218750000000,108488.89843750000000,-0.6123318867247115
redFont,"Sep 15, 2022",1663200000,2022-09-15T00:00:00Z,"109,954","110,547","111,100","109,524",11.62M,11622501,-0.54,109953.64843750000000,110546.52343750000000,111100.40625000000000,109523.89062500000000,-0.5364462153782049
redFont,"Sep 14, 2022",1663113600,2022-09-14T00:00:00Z,"110,547","110,794","111,504","110,118",11.63M,11630933,-0.22,110546.67187500000000,110793.99218750000000,111504.46875000000000,110118.13281250000000,-0.2231972396397113
redFont,"Sep 13, 2022",1663027200,2022-09-13T00:00:00Z,"110,794","113,398","113,400","110,522",12.61M,12612469,-2.30,110793.96093750000000,113398.09375000000000,113400.21875000000000,110521.95312500000000,-2.3037346691983034
greenFont,"Sep 12, 2022",1662940800,2022-09-12T00:00:00Z,"113,407","112,307","114,160","112,305",11.71M,11707073,0.98,113406.54687500000000,112307.24218750000000,114159.53125000000000,112304.57031250000000,0.9849836362457505
greenFont,"Sep 09, 2022",1662681600,2022-09-09T00:00:00Z,"112,300","109,922","112,540","109,922",12.16M,12155236,2.17,112300.40625000000000,109922.25000000000000,112539.89062500000000,109922.25000000000000,2.1696326486747437
greenFont,"Sep 08, 2022",1662595200,2022-09-08T00:00:00Z,"109,916","109,771","110,768","108,619",13.76M,13759466,0.14,109915.64062500000000,109770.53125000000000,110767.67187500000000,108618.96875000000000,0.1383582057576345
redFont,"Sep 06, 2022",1662422400,2022-09-06T00:00:00Z,"109,764","112,203","112,203","109,348",14.30M,14296067,-2.17,109763.77343750000000,112202.61718750000000,112202.77343750000000,109348.31250000000000,-2.1742471067284432
greenFont,"Sep 05, 2022",1662336000,2022-09-05T00:00:00Z,"112,203","110,868","112,671","110,865",9.52M,9515465,1.21,112203.35156250000000,110867.92968750000000,112671.39062500000000,110864.75781250000000,1.207882134561675
greenFont,"Sep 02, 2022",1662076800,2022-09-02T00:00:00Z,"110,864","110,409","112,264","110,409",16.69M,16691813,0.42,110864.24218750000000,110408.92187500000000,112264.17187500000000,110408.92187500000000,0.4156913893539132
greenFont,"Sep 01, 2022",1661990400,2022-09-01T00:00:00Z,"110,405","109,524","110,405","108,217",14.48M,14478028,0.81,110405.29687500000000,109523.84375000000000,110405.29687500000000,108217.39843750000000,0.8056892220511281
redFont,"Aug 31, 2022",1661904000,2022-08-31T00:00:00Z,"109,523","110,431","111,364","109,523",14.79M,14791072,-0.82,109522.88281250000000,110430.64062500000000,111364.04687500000000,109522.88281250000000,-0.8220162514338397
redFont,"Aug 30, 2022",1661817600,2022-08-30T00:00:00Z,"110,431","112,323","112,869","110,103",11.94M,11937927,-1.68,110430.64062500000000,112323.42187500000000,112868.78125000000000,110103.10937500000000,-1.6848504652349572
greenFont,"Aug 29, 2022",1661731200,2022-08-29T00:00:00Z,"112,323","112,296","113,222","111,689",9.80M,9795768,0.02,112323.11718750000000,112295.86718750000000,113221.53906250000000,111689.14843750000000,0.021601121004262203
redFont,"Aug 26, 2022",1661472000,2022-08-26T00:00:00Z,"112,299","113,533","114,091","111,978",11.16M,11159705,-1.09,112298.85937500000000,113532.53906250000000,114091.39843750000000,111978.20312500000000,-1.0859162431203835
greenFont,"Aug 25, 2022",1661385600,2022-08-25T00:00:00Z,"113,532","112,898","114,156","112,768",11.84M,11838470,0.56,113531.71875000000000,112897.84375000000000,114156.20312500000000,112768.18750000000000,0.5614589074027377
greenFont,"Aug 24, 2022",1661299200,2022-08-24T00:00:00Z,"112,898","112,856","113,888","112,632",13.76M,13763991,0.04,112897.84375000000000,112856.43750000000000,113887.75000000000000,112632.28125000000000,0.03610068567766386
greenFont,"Aug 23, 2022",1661212800,2022-08-23T00:00:00Z,"112,857","110,504","112,965","110,503",11.89M,11892014,2.13,112857.10156250000000,110503.56250000000000,112965.20312500000000,110503.00781250000000,2.1326325637009096
redFont,"Aug 22, 2022",1661126400,2022-08-22T00:00:00Z,"110,501","111,487","111,487","109,858",11.01M,11010894,-0.89,110500.53125000000000,111486.78125000000000,111486.78125000000000,109858.38281250000000,-0.8930166138633495
redFont,"Aug 19, 2022",1660867200,2022-08-19T00:00:00Z,"111,496","113,807","113,807","111,146",12.68M,12678615,-2.04,111496.21093750000000,113807.28906250000000,113807.28906250000000,111146.14843750000000,-2.0354959041524237
greenFont,"Aug 18, 2022",1660780800,2022-08-18T00:00:00Z,"113,813","113,708","114,375","113,304",10.64M,10644201,0.09,113812.86718750000000,113707.75781250000000,114375.45312500000000,113303.89843750000000,0.0924381739839788
greenFont,"Aug 17, 2022",1660694400,2022-08-17T00:00:00Z,"113,708","113,508","114,146","112,483",14.65M,14652790,0.17,113707.75781250000000,113507.82031250000000,114146.22656250000000,112482.57812500000000,0.17211778588307924
greenFont,"Aug 16, 2022",1660608000,2022-08-16T00:00:00Z,"113,512","113,034","113,626","112,690",12.99M,12986412,0.43,113512.38281250000000,113033.78906250000000,113626.03906250000000,112689.84375000000000,0.4250180034092952
greenFont,"Aug 15, 2022",1660521600,2022-08-15T00:00:00Z,"113,032","112,767","113,214","111,067",15.55M,15552932,0.24,113031.97656250000000,112767.24218750000000,113214.20312500000000,111066.52343750000000,0.23741454534747372
greenFont,"Aug 12, 2022",1660262400,2022-08-12T00:00:00Z,"112,764","109,718","112,764","109,718",18.70M,18704940,2.78,112764.25781250000000,109717.93750000000000,112764.25781250000000,109717.93750000000000,2.776501620348086
redFont,"Aug 11, 2022",1660176000,2022-08-11T00:00:00Z,"109,718","110,236","111,310","109,604",14.94M,14944822,-0.47,109717.93750000000000,110236.17187500000000,111309.64062500000000,109603.65625000000000,-0.46973896925602
greenFont,"Aug 10, 2022",1660089600,2022-08-10T00:00:00Z,"110,236","108,658","110,362","108,657",13.38M,13376169,1.46,110235.75781250000000,108657.75781250000000,110362.14062500000000,108657.36718750000000,1.4585325986993625
greenFont,"Aug 09, 2022",1660003200,2022-08-09T00:00:00Z,"108,651","108,403","109,331","107,842",12.15M,12147930,0.23,108651.04687500000000,108403.43750000000000,109331.28906250000000,107841.97656250000000,0.22949097801295826
greenFont,"Aug 08, 2022",1659916800,2022-08-08T00:00:00Z,"108,402","106,473","108,489","106,473",12.67M,12674646,1.81,108402.27343750000000,106473.03125000000000,108489.25000000000000,106472.86718750000000,1.8130146695072042
greenFont,"Aug 05, 2022",1659657600,2022-08-05T00:00:00Z,"106,472","105,893","107,176","105,518",12.95M,12947490,0.55,106471.92187500000000,105893.28125000000000,107176.06250000000000,105517.82031250000000,0.5474463863757695
greenFont,"Aug 04, 2022",1659571200,2022-08-04T00:00:00Z,"105,892","103,777","106,162","103,777",15.50M,15500951,2.04,105892.21875000000000,103776.71093750000000,106161.56250000000000,103776.71093750000000,2.0405161151801314
greenFont,"Aug 03, 2022",1659484800,2022-08-03T00:00:00Z,"103,775","103,362","103,878","102,822",12.38M,12379560,0.40,103774.67968750000000,103361.89062500000000,103878.28906250000000,102822.02343750000000,0.39954504426128573
greenFont,"Aug 02, 2022",1659398400,2022-08-02T00:00:00Z,"103,362","102,225","103,660","101,694",10.12M,10124520,1.11,103361.70312500000000,102225.07812500000000,103659.67968750000000,101693.97656250000000,1.111884696835491
redFont,"Aug 01, 2022",1659312000,2022-08-01T00:00:00Z,"102,225","103,165","103,317","101,764",11.63M,11626703,-0.91,102225.07812500000000,103164.68750000000000,103317.47656250000000,101764.38281250000000,-0.9107858490823229
greenFont,"Jul 29, 2022",1659052800,2022-07-29T00:00:00Z,"103,165","102,597","103,989","102,514",12.93M,12934237,0.55,103164.68750000000000,102596.65625000000000,103989.46875000000000,102514.25000000000000,0.5536547396007363
greenFont,"Jul 28, 2022",1658966400,2022-07-28T00:00:00Z,"102,597","101,437","102,686","101,045",11.13M,11130016,1.14,102596.65625000000000,101436.75781250000000,102685.67187500000000,101044.68750000000000,1.1422699172885766
greenFont,"Jul 27, 2022",1658880000,2022-07-27T00:00:00Z,"101,438","99,773","101,471","99,772",10.26M,10263106,1.67,101437.96093750000000,99773.03906250000000,101471.00000000000000,99771.54687500000000,1.6700864536344542
redFont,"Jul 26, 2022",1658793600,2022-07-26T00:00:00Z,"99,772","100,270","100,753","99,365",9.14M,9136586,-0.50,99771.68750000000000,100269.85156250000000,100753.39843750000000,99364.78906250000000,-0.49682337685469236
greenFont,"Jul 25, 2022",1658707200,2022-07-25T00:00:00Z,"100,270","98,926","100,508","98,925",8.62M,8621807,1.36,100269.85156250000000,98926.28125000000000,100508.09375000000000,98925.15625000000000,1.3596499298670384
redFont,"Jul 22, 2022",1658448000,2022-07-22T00:00:00Z,"98,925","99,034","99,724","98,321",10.03M,10033489,-0.11,98924.82031250000000,99034.03906250000000,99724.22656250000000,98321.22656250000000,-0.10940936299279772
greenFont,"Jul 21, 2022",1658361600,2022-07-21T00:00:00Z,"99,033","98,286","99,057","97,088",10.06M,10059963,0.76,99033.17187500000000,98286.46093750000000,99056.78906250000000,97087.61718750000000,0.7593527680543409
